index,text,confidence
1481,IE,0.3726
1482,TT,0.2063
1483,1,0.7046
1484,L,0.5733
1485,-,0.6343
1486,B,0.4396
1487,E,0.3149
1488,E,0.2424
1489,1,0.3839
1490,,0.2019
1491,,0.144
1492,-,0.9386
1493,-,0.814
1494,HETEE,0.2971
1495,-,0.5845
1496,1,0.7175
1497,T-,0.3089
1498,=,0.3064
1499,-,0.6113
1500,E,0.4946
1501,FETEEE,0.2763
1502,-,0.3358
1503,1,0.573
1504,1,0.4564
1505,1,0.8354
1506,-,0.8633
1507,-,0.7555
1508,=,0.5359
1509,1,0.3758
1510,L,0.4672
1511,=,0.6376
1512,L,0.2904
1513,-,0.8461
1514,1,0.9244
1515,L,0.775
1516,-,0.7705
1517,=,0.4203
1518,1,0.4827
1519,-,0.8432
1520,=,0.7387
1521,L,0.5392
1522,-,0.559
1523,-,0.6947
1524,-,0.6755
1525,L,0.4914
1526,BEE,0.478
1527,E,0.2163
1528,-,0.5956
1529,-,0.4302
1530,L,0.5146
1531,-,0.3083
1532,=,0.5587
1533,-,0.5422
1534,E,0.2638
1535,-,0.9115
1536,-,0.5899
1537,L,0.354
1538,-,0.5115
1539,-,0.9276
1540,-,0.5863
1541,-,0.9299
1542,HETTIF,0.2472
1543,BETIT,0.2529
1544,I,0.5162
1545,1,0.6007
1546,1,0.9043
1547,-,0.5033
1548,1,0.4373
1549,1,0.8744
1550,-,0.5467
1551,,0.5813
1552,=,0.7665
1553,-,0.6704
1554,-,0.6931
1555,I,0.2785
1556,I,0.3958
1557,L,0.5937
1558,-,0.3243
1559,GTOAT,0.4783
1560,1,0.6268
1561,I,0.5369
1562,M,0.4369
1563,-,0.4212
1564,E,0.1704
1565,P,0.3886
1566,-,0.6814
1567,EMRERRE,0.2879
1568,-,0.7635
1569,-,0.9033
1570,E,0.2943
1571,,0.3019
1572,-,0.547
1573,=,0.753
1574,1,0.674
1575,-,0.8748
1576,=,0.2446
1577,1,0.6016
1578,-,0.3479
1579,-,0.4546
1580,DIOI,0.2251
1581,L,0.6919
1582,-,0.2623
1583,HEBE,0.3622
1584,-,0.5083
1585,=,0.3449
1586,1,0.5467
1587,ET,0.387
1588,=,0.3674
1589,-,0.9404
1590,-,0.5879
1591,-,0.6554
1592,-,0.7661
1593,-,0.8502
1594,I,0.342
1595,,0.6766
1596,1,0.4937
1597,-,0.1786
1598,2ir,0.0988
1599,-,0.4169
1600,-,0.7791
1601,-,0.815
1602,-,0.6724
1603,L,0.7975
1604,-,0.4181
1605,1,0.8436
1606,-,0.7735
1607,IIM,0.1638
1608,-,0.8191
1609,-,0.8831
1610,I,0.591
1611,-,0.8802
1612,=,0.3628
1613,-,0.3373
