index,text,confidence
355,L,0.4764
356,-,0.5527
357,1,0.591
358,I,0.3648
359,ETTE,0.4843
360,,0.5554
361,al,0.2938
362,-,0.7992
363,1,0.5291
364,=,0.5873
365,-,0.6165
366,1,0.4643
367,1,0.6368
368,1,0.5713
369,1,0.5401
370,LTRE,0.3662
371,ID,0.3587
372,E,0.3443
373,=,0.607
374,I,0.6734
375,1,0.7145
376,-,0.3116
377,I,0.2442
378,-,0.2723
379,-,0.9674
380,E,0.4832
381,-,0.9469
382,TTE,0.164
383,-,0.7074
384,PEi,0.1324
385,-,0.8236
386,-,0.8675
387,I,0.3469
388,-,0.8408
389,-,0.3536
390,pomu,0.186
391,EE,0.4031
392,-,0.5907
393,-,0.9025
394,FTTTTTTE,0.398
395,HIHEE,0.4679
396,1,0.3866
397,1,0.601
398,-,0.3333
399,-,0.6216
400,-,0.8066
401,L,0.6406
402,-,0.5341
403,1,0.7628
404,-,0.8871
405,I,0.4699
406,1,0.6227
407,-,0.4882
408,-,0.4455
409,E,0.5452
410,=,0.5511
411,-,0.5015
412,,0.5499
413,l,0.2011
414,-,0.5362
415,-,0.8432
416,-,0.7903
417,-,0.9319
418,-,0.3803
419,-,0.5441
420,-,0.3828
421,-,0.9641
422,-,0.6771
423,-,0.8446
424,iEE,0.4402
425,-,0.7347
426,-,0.6979
427,-,0.96
428,=,0.4916
429,-,0.804
430,-,0.4478
431,E,0.3533
432,-,0.5923
433,=,0.4423
434,E,0.4169
435,-,0.945
436,-,0.5193
437,-,0.6967
438,FEE,0.9328
439,ELE,0.2827
440,,0.7813
441,-,0.3489
442,I,0.3802
443,-,0.4016
444,E,0.2955
445,1,0.2936
446,M,0.535
447,LE,0.4824
448,L,0.965
449,1,0.4331
450,-,0.9083
451,-,0.6633
452,L,0.6565
453,E,0.8235
454,-,0.7848
455,-,0.8217
456,1,0.278
457,,0.4115
458,,0.7943
459,-,0.3973
460,=,0.3865
461,=,0.5092
462,1,0.4849
463,L,0.375
464,-,0.8997
465,1,0.5432
466,-,0.7172
467,-,0.955
468,-,0.7688
469,LITE,0.287
470,-,0.2614
471,BT,0.2547
472,-,0.448
473,-,0.8639
474,TT,0.5042
475,1,0.7655
476,TTE,0.28
477,-,0.4803
478,ETT,0.357
479,ETIT,0.5025
480,-,0.4441
481,ELLL,0.3827
482,-,0.5072
483,-,0.4971
484,-,0.5102
485,-,0.7124
486,LETT,0.3074
487,-,0.8329
488,-,0.493
489,1,0.6013
490,,0.5309
491,T,0.3815
492,-,0.4119
493,-,0.3765
494,-,0.9597
495,-,0.6232
496,-,0.5317
497,FH,0.3196
498,-,0.9265
499,-,0.8604
500,-,0.9145
501,-,0.6503
502,:,0.6499
503,A,0.3945
504,H,0.5826
505,-,0.7893
506,-,0.8158
507,-,0.6768
508,-,0.7789
509,L,0.3678
510,-,0.4411
511,=,0.4133
512,-,0.6091
513,-,0.4697
514,-,0.7684
515,EEEL,0.3329
516,=,0.2218
517,-,0.2459
518,-,0.9508
519,-,0.4965
520,D,0.3607
521,-,0.8337
522,-,0.5135
523,-,0.908
524,-,0.8247
525,-,0.741
526,l,0.3222
527,=,0.6888
528,-,0.8322
529,-,0.873
530,ELE,0.4315
531,-,0.7509
532,-,0.6922
533,Em,0.1997
534,-,0.6874
535,:,0.8168
536,-,0.7146
537,1,0.7876
538,I,0.449
539,i,0.2788
540,=,0.8477
541,=,0.949
542,-,0.7811
543,EETER,0.1835
544,-,0.7315
545,-,0.8912
546,I,0.5235
547,E,0.3575
548,L,0.2674
549,iE,0.4635
550,lE,0.4892
551,E,0.492
552,E,0.2679
553,F,0.4625
554,-,0.6091
555,1,0.288
556,DIE,0.1786
557,Po,0.307
558,RES,0.337
559,-,0.8952
560,-,0.5245
561,EET,0.2677
562,BTI,0.3048
563,-,0.4091
564,E,0.4798
565,=,0.4285
566,-,0.6432
567,TITTTITT,0.3352
568,-,0.8065
569,L,0.5832
570,1,0.4417
571,-,0.5123
572,-E,0.5549
573,-,0.6384
574,-,0.9236
575,-,0.4553
576,l,0.4594
577,-,0.712
578,-,0.7397
579,M,0.9125
580,:,0.88
581,-,0.5883
582,=,0.7589
583,E,0.6105
584,-,0.8074
585,=,0.8022
586,=,0.6418
587,1,0.9349
588,M,0.3816
589,i=,0.5995
590,=,0.365
591,L,0.398
592,-,0.5877
593,-,0.7989
594,I,0.2333
595,I,0.4408
596,-,0.3384
597,,0.4167
598,m=,0.2701
